Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
19.75,0,0.041330512,6,115.8466,1,1987,2.0,2,1,2474.7786
9.8,1,0.235354055,0,50.8008,0,1998,,2,0,101.2016
11.8,1,0.057746382,10,152.4366,2,2007,,1,1,3929.5516
9.8,1,0.045337184,0,36.8874,7,1999,1.0,0,1,564.5984
7.42,0,0.020374875,13,248.0092,1,1987,2.0,2,1,1245.046
20.75,0,0.035568147,14,151.8024,0,1998,,2,0,151.8024
12.6,1,0.062797771,5,103.999,7,1999,1.0,0,1,825.592
19.75,1,0.018096488,5,179.566,3,2009,1.0,2,2,2696.49
10.895,1,0.009613854,4,122.973,1,1987,2.0,2,1,1231.73
16.6,0,0.026645307,5,53.5614,3,2009,1.0,2,2,939.4438
6.765,1,0.087753682,5,105.3306,2,2007,,1,1,2090.612
13.1,0,0.037657459,6,175.8054,5,2002,,1,1,2801.6864
6.155,1,0.095195306,10,213.956,2,2007,,1,1,2343.616
10.65,0,0.048686689,11,164.1526,6,1997,0.0,0,1,1808.9786
20.25,1,0.022940826,0,241.8538,6,1997,0.0,0,1,5768.4912
20.5,0,0.119339241,0,106.0596,4,2004,0.0,1,1,970.7364
11.8,1,0.014075334,5,176.8344,1,1987,2.0,2,1,3568.688
15.0,0,0.046336634,1,120.0414,1,1987,2.0,2,1,3533.4006
13.15,0,0.036641589,5,180.7976,1,1987,2.0,2,1,6157.3184
15.5,1,0.101176316,6,198.9768,3,2009,1.0,2,2,4729.8432
11.6,1,0.079376029,5,81.7276,2,2007,,1,1,1949.4624
14.35,1,0.091054989,5,231.8984,7,1999,1.0,0,1,4633.968
13.15,0,0.043852434,13,182.695,5,2002,,1,1,4211.185
10.895,1,0.009620042,4,121.673,4,2004,0.0,1,1,1970.768
10.1,0,0.054939848,8,199.5084,2,2007,,1,1,3372.9428
18.7,0,0.014675574,14,50.8324,2,2007,,1,1,934.7832
12.15,0,0.14526636,8,224.0404,7,1999,1.0,0,1,3375.606
10.195,1,0.146662938,5,138.6838,6,1997,0.0,0,1,2388.2246
8.575,1,0.071786706,4,193.3794,1,1987,2.0,2,1,780.3176
16.5,1,0.133424184,6,102.2332,0,1998,,2,0,102.5332
9.065,0,0.115799592,5,95.3094,3,2009,1.0,2,2,1713.7692
16.6,0,0.027579198,9,178.7344,6,1997,0.0,0,1,1605.9096
11.6,1,0.241055611,4,238.5222,0,1998,,2,0,717.0666
19.5,0,0.014332439,9,57.1614,3,2009,1.0,2,2,1381.535
16.6,0,0.027133398,8,106.2596,0,1998,,2,0,215.7192
11.85,0,0.132876847,4,98.0726,7,1999,1.0,0,1,1076.5986
12.85,0,0.03315162,13,170.6422,1,1987,2.0,2,1,2931.5174
9.0,0,0.019536981,9,170.0474,7,1999,1.0,0,1,4211.185
5.655,0,0.085258864,6,165.85,4,2004,0.0,1,1,1830.95
8.93,0,0.013179388,9,55.1614,6,1997,0.0,0,1,939.4438
15.2,0,0.033592687,9,108.1912,4,2004,0.0,1,1,1856.2504
7.655,0,0.05346916,3,114.1492,0,1998,,2,0,115.8492
15.5,0,0.103603094,13,143.547,7,1999,1.0,0,1,1431.47
18.7,0,0.104840884,5,122.1072,7,1999,1.0,0,1,490.0288
9.5,0,0.042056944,14,31.89,3,2009,1.0,2,2,366.19
13.65,0,0.040049609,5,34.4558,2,2007,,1,1,611.2044
19.5,1,0.03075661,3,86.254,5,2002,,1,1,2163.85
8.71,0,0.0,3,46.5376,1,1987,2.0,2,1,575.2512
19.6,0,0.024363939,4,46.3718,2,2007,,1,1,661.8052
11.8,0,0.058725131,8,82.3618,4,2004,0.0,1,1,1208.427
6.715,1,0.122274118,0,40.3454,2,2007,,1,1,838.908
19.1,0,0.067239404,9,39.6796,1,1987,2.0,2,1,660.4736
20.7,0,0.021464454,0,156.6288,7,1999,1.0,0,1,3928.22
10.195,0,0.112681821,7,113.986,3,2009,1.0,2,2,452.744
20.2,1,0.039469737,2,155.163,2,2007,,1,1,782.315
10.8,0,0.061101383,14,151.9024,6,1997,0.0,0,1,2580.6408
19.75,0,0.014359584,9,100.8332,3,2009,1.0,2,2,1537.998
19.35,0,0.016637301,5,120.9098,7,1999,1.0,0,1,1687.1372
7.405,0,0.159843921,4,206.6296,3,2009,1.0,2,2,3115.944
15.25,0,0.061308889,9,128.8968,5,2002,,1,1,2348.9424
8.895,0,0.026397141,5,207.8954,5,2002,,1,1,3542.7218
18.75,0,0.034307348,9,215.2218,6,1997,0.0,0,1,4701.8796
20.1,0,0.074627201,4,110.3228,6,1997,0.0,0,1,1768.3648
12.35,0,0.041973712,8,35.7216,2,2007,,1,1,519.324
16.85,1,0.080015028,13,111.8544,3,2009,1.0,2,2,1677.816
18.25,0,0.10084386,15,166.3526,0,1998,,2,0,164.4526
17.0,0,0.055519561,4,219.8114,7,1999,1.0,0,1,1108.557
14.3,0,0.130946374,0,76.7328,3,2009,1.0,2,2,1312.9576
17.6,1,0.041381156,13,35.019,6,1997,0.0,0,1,659.142
20.25,0,0.036474041,4,218.3482,3,2009,1.0,2,2,2409.5302
18.0,0,0.039231652,13,145.1418,2,2007,,1,1,2648.5524
16.35,0,0.013393537,11,106.028,5,2002,,1,1,1065.28
14.0,1,0.031444357,3,53.764,2,2007,,1,1,798.96
5.78,0,0.014555066,14,145.2102,6,1997,0.0,0,1,3062.0142
21.0,0,0.082526478,13,191.8478,0,1998,,2,0,774.9912
13.65,1,0.080765853,5,262.8936,7,1999,1.0,0,1,4958.8784
12.3,1,0.17797002,6,173.1396,0,1998,,2,0,697.7584
12.35,1,0.03382933,10,196.9426,5,2002,,1,1,2768.3964
11.8,0,0.11397026,14,185.1924,2,2007,,1,1,2591.2936
19.7,0,0.038729457,7,127.3362,4,2004,0.0,1,1,755.0172
10.1,0,0.032075379,3,50.9008,1,1987,2.0,2,1,354.2056
17.85,0,0.146305498,1,94.1436,1,1987,2.0,2,1,1607.2412
20.7,0,0.026877471,9,74.6354,1,1987,2.0,2,1,1053.2956
8.89,0,0.005474515,5,99.7016,6,1997,0.0,0,1,1922.8304
14.5,0,0.064048405,3,153.4682,4,2004,0.0,1,1,1677.1502
9.0,0,0.032203667,9,100.8016,2,2007,,1,1,1113.2176
13.35,0,0.017857847,4,77.5012,3,2009,1.0,2,2,1518.024
6.675,0,0.041921462,13,92.3462,6,1997,0.0,0,1,2406.2012
10.3,1,0.024875871,0,173.0422,1,1987,2.0,2,1,2069.3064
17.1,1,0.073997843,6,207.0638,1,1987,2.0,2,1,4969.5312
14.15,0,0.020798905,6,123.6046,3,2009,1.0,2,2,1245.046
10.8,0,0.052363244,14,236.5564,2,2007,,1,1,5243.8408
8.5,0,0.098283459,3,51.3324,3,2009,1.0,2,2,934.7832
6.215,0,0.012138795,6,39.2848,1,1987,2.0,2,1,521.9872
17.5,0,0.0,13,253.0356,4,2004,0.0,1,1,4578.0408
20.7,0,0.042923652,4,178.3028,5,2002,,1,1,1062.6168
8.975,1,0.009058845,3,103.399,6,1997,0.0,0,1,2579.975
20.5,1,0.032136417,5,83.9592,0,1998,,2,0,165.1184
13.65,0,0.065898197,5,46.1402,3,2009,1.0,2,2,459.402
13.1,0,0.075731322,4,167.5158,5,2002,,1,1,1504.0422
4.615,1,0.101812521,3,232.23,4,2004,0.0,1,1,5126.66
12.3,1,0.106327251,6,172.8396,6,1997,0.0,0,1,2616.594
19.2,0,0.100055601,5,112.4886,4,2004,0.0,1,1,1223.0746
20.1,1,0.054540159,5,152.1366,7,1999,1.0,0,1,755.683
11.5,1,0.037723476,13,109.5254,3,2009,1.0,2,2,1953.4572
9.3,0,0.14897741,3,143.0786,0,1998,,2,0,288.9572
15.2,1,0.104201019,6,176.5054,3,2009,1.0,2,2,2976.7918
12.65,1,0.076198809,5,191.3846,5,2002,,1,1,2675.1844
11.1,0,0.010639596,3,84.1908,4,2004,0.0,1,1,755.0172
19.2,0,0.041220035,9,131.231,4,2004,0.0,1,1,3635.268
19.75,0,0.01247354,6,187.5872,5,2002,,1,1,1323.6104
6.135,0,0.079132212,14,112.686,5,2002,,1,1,2942.836
12.5,0,0.020693809,1,199.1742,4,2004,0.0,1,1,4379.6324
7.235,0,0.10016525,13,193.9452,5,2002,,1,1,2936.178
15.85,0,0.057302606,13,53.3956,4,2004,0.0,1,1,600.5516
9.895,1,0.048761046,5,260.5278,5,2002,,1,1,8851.1452
20.75,0,0.0,14,153.0024,4,2004,0.0,1,1,2428.8384
10.8,0,0.052149675,14,239.9564,7,1999,1.0,0,1,3813.7024
8.76,0,0.050130529,8,128.3336,7,1999,1.0,0,1,2556.672
16.1,1,0.024987903,6,97.341,7,1999,1.0,0,1,1255.033
7.1,0,0.109990885,6,172.908,4,2004,0.0,1,1,2769.728
19.35,1,0.049736267,6,76.8644,5,2002,,1,1,1571.288
16.7,1,0.117026714,0,189.2214,0,1998,,2,0,188.4214
9.5,1,0.035121963,6,168.6448,1,1987,2.0,2,1,1022.6688
8.43,0,0.017311312,14,197.8768,1,1987,2.0,2,1,3744.4592
14.15,0,0.008811818,9,196.511,5,2002,,1,1,2749.754
5.44,0,0.025583714,4,239.1538,3,2009,1.0,2,2,480.7076
7.35,1,0.014353174,6,242.6512,1,1987,2.0,2,1,969.4048
20.1,1,0.054410179,5,151.3366,1,1987,2.0,2,1,2720.4588
12.0,0,0.033974436,3,181.8976,6,1997,0.0,0,1,4527.44
21.25,0,0.009996872,10,185.5608,4,2004,0.0,1,1,3123.9336
8.3,1,0.030212499,0,98.0384,5,2002,,1,1,2857.6136
10.1,0,0.027217468,10,76.067,2,2007,,1,1,1454.773
14.15,0,0.038123176,15,123.5046,2,2007,,1,1,1992.0736
9.0,0,0.079506434,3,78.3644,5,2002,,1,1,1728.4168
12.15,0,0.021811987,1,163.6184,3,2009,1.0,2,2,2311.6576
20.0,1,0.028167478,6,45.5744,7,1999,1.0,0,1,452.744
6.71,1,0.029560451,0,65.8142,6,1997,0.0,0,1,856.8846
7.365,0,0.04280099,6,228.372,2,2007,,1,1,2037.348
7.935,0,0.017141985,4,50.035,1,1987,2.0,2,1,149.805
12.6,0,0.056394771,12,51.3982,2,2007,,1,1,473.3838
17.6,0,0.056379439,5,42.7454,7,1999,1.0,0,1,293.6178
19.0,0,0.129534812,9,190.1872,7,1999,1.0,0,1,5105.3544
7.5,0,0.036439878,8,175.3028,2,2007,,1,1,3010.7476
13.35,0,0.0,4,77.6012,6,1997,0.0,0,1,986.7156
8.6,0,0.090191431,9,112.9176,6,1997,0.0,0,1,458.0704
10.5,1,0.022590318,13,140.6154,0,1998,,2,0,283.6308
9.0,0,0.082011521,5,213.3534,6,1997,0.0,0,1,1935.4806
4.61,0,0.122843005,7,172.4396,7,1999,1.0,0,1,1569.9564
10.895,1,0.05432142,5,146.2102,0,1998,,2,0,437.4306
17.6,0,0.049144165,13,112.7176,7,1999,1.0,0,1,1717.764
11.65,0,0.040577878,6,188.224,7,1999,1.0,0,1,1304.968
19.1,0,0.067400032,9,41.9796,7,1999,1.0,0,1,784.3124
17.2,1,0.012036432,3,165.7184,5,2002,,1,1,1816.3024
16.5,0,0.073977473,3,206.8638,5,2002,,1,1,2070.638
15.6,0,0.143396175,2,128.0994,5,2002,,1,1,2184.4898
9.0,0,0.03201648,9,99.6016,4,2004,0.0,1,1,1922.8304
15.0,0,0.058346234,13,44.0744,1,1987,2.0,2,1,633.8416
6.195,0,0.072097449,13,119.3098,7,1999,1.0,0,1,1205.098
20.2,1,0.117543713,0,197.311,7,1999,1.0,0,1,3338.987
20.7,0,0.048718334,6,38.7506,1,1987,2.0,2,1,227.7036
20.25,0,0.0591756,9,245.046,3,2009,1.0,2,2,4680.574
7.655,0,0.031918284,3,117.7492,1,1987,2.0,2,1,695.0952
5.92,1,0.019308607,14,49.0692,2,2007,,1,1,1478.076
18.75,0,0.023974769,4,99.0042,2,2007,,1,1,694.4294
9.395,1,0.100602552,0,88.3856,5,2002,,1,1,703.0848
13.35,0,0.091189915,13,149.3708,4,2004,0.0,1,1,4514.124
19.2,0,0.129731747,9,196.211,0,1998,,2,0,589.233
19.0,1,0.103363904,6,226.172,1,1987,2.0,2,1,3169.208
14.15,0,0.020714523,6,124.2046,6,1997,0.0,0,1,2490.092
20.85,1,0.062212713,0,88.1514,4,2004,0.0,1,1,1151.1682
8.63,0,0.031271134,13,186.0582,2,2007,,1,1,3900.9222
16.7,0,0.026729068,9,248.4776,3,2009,1.0,2,2,6439.6176
7.895,1,0.094567181,2,104.5332,6,1997,0.0,0,1,1845.5976
7.72,0,0.05193741,6,77.9986,1,1987,2.0,2,1,934.7832
5.615,0,0.126480422,8,121.573,2,2007,,1,1,3202.498
7.05,1,0.055644887,1,224.9088,7,1999,1.0,0,1,2684.5056
14.35,0,0.028519419,8,109.2228,0,1998,,2,0,221.0456
8.52,0,0.027101431,14,151.7682,7,1999,1.0,0,1,2439.4912
7.645,1,0.067083367,13,44.0112,2,2007,,1,1,596.5568
12.1,0,0.020652362,13,149.5734,3,2009,1.0,2,2,2227.101
14.8,0,0.081042136,10,192.4846,6,1997,0.0,0,1,5159.2842
20.75,0,0.021336565,14,153.6024,3,2009,1.0,2,2,1366.2216
10.8,0,0.029001987,13,238.6222,5,2002,,1,1,8604.7992
18.35,0,0.069745165,7,190.2872,0,1998,,2,0,378.1744
13.5,1,0.068148886,4,58.6562,3,2009,1.0,2,2,711.0744
20.5,0,0.144094079,9,34.819,2,2007,,1,1,1061.951
12.35,1,0.186616421,0,78.6328,3,2009,1.0,2,2,1004.0264
8.895,0,0.105323859,4,39.1138,5,2002,,1,1,609.207
16.7,0,0.022110425,4,110.8886,5,2002,,1,1,3558.0352
16.2,0,0.019374768,14,155.8972,4,2004,0.0,1,1,2025.3636
7.26,0,0.014482278,10,118.115,3,2009,1.0,2,2,1864.24
6.65,0,0.087805788,6,126.7678,7,1999,1.0,0,1,1907.517
13.35,0,0.048027043,1,218.9166,6,1997,0.0,0,1,5660.6316
17.35,0,0.055908268,0,99.8016,4,2004,0.0,1,1,607.2096
5.46,1,0.032359413,3,187.424,2,2007,,1,1,3169.208
18.25,0,0.088807455,5,197.3452,4,2004,0.0,1,1,2740.4328
8.185,0,0.046556408,6,47.7692,7,1999,1.0,0,1,640.4996
7.5,0,0.050750977,3,122.2072,6,1997,0.0,0,1,1960.1152
12.65,0,0.035404052,0,230.601,4,2004,0.0,1,1,2067.309
14.3,0,0.130390458,0,77.2328,4,2004,0.0,1,1,231.6984
17.85,0,0.074422769,13,128.002,0,1998,,2,0,253.004
6.425,0,0.105742544,2,130.5626,0,1998,,2,0,131.1626
6.825,1,0.046729336,3,153.4998,5,2002,,1,1,2153.1972
20.25,0,0.058886477,9,245.546,1,1987,2.0,2,1,1724.422
19.2,0,0.18293775,11,243.0196,7,1999,1.0,0,1,3615.294
17.7,0,0.020993364,9,166.8474,0,1998,,2,0,168.4474
9.695,1,0.029223424,3,175.437,5,2002,,1,1,2999.429
7.75,0,0.043326511,0,95.6436,5,2002,,1,1,1134.5232
19.75,1,0.018051091,5,179.866,7,1999,1.0,0,1,2696.49
5.325,1,0.23212188,4,55.5298,0,1998,,2,0,53.9298
6.71,1,0.029727657,0,66.6142,2,2007,,1,1,1120.5414
14.35,0,0.080527065,0,79.296,1,1987,2.0,2,1,719.064
15.2,0,0.0,8,47.8034,7,1999,1.0,0,1,437.4306
5.82,1,0.0,6,256.633,7,1999,1.0,0,1,2050.664
5.59,1,0.056833394,13,61.9168,3,2009,1.0,2,2,1214.4192
18.5,1,0.062256921,5,148.0418,6,1997,0.0,0,1,2059.9852
14.0,1,0.060427062,5,153.5656,6,1997,0.0,0,1,3089.312
7.605,0,0.216323008,6,165.021,0,1998,,2,0,815.605
9.6,0,0.085125951,0,107.128,5,2002,,1,1,1278.336
17.7,1,0.122565413,10,103.8674,2,2007,,1,1,1528.011
15.7,0,0.0,7,43.377,0,1998,,2,0,129.831
13.65,0,0.077670981,8,55.093,2,2007,,1,1,1301.639
14.6,1,0.043201813,6,110.1254,2,2007,,1,1,1844.9318
15.6,0,0.088215871,13,220.1798,2,2007,,1,1,5068.7354
20.25,0,0.036295834,4,217.5482,1,1987,2.0,2,1,1095.241
8.02,0,0.186528819,13,151.9998,0,1998,,2,0,307.5996
18.35,0,0.099026525,6,93.8462,1,1987,2.0,2,1,1295.6468
16.6,0,0.0,3,118.8124,6,1997,0.0,0,1,2607.2728
10.0,1,0.063162608,5,228.6668,4,2004,0.0,1,1,3455.502
16.1,1,0.063429818,4,179.4318,7,1999,1.0,0,1,2345.6134
13.0,1,0.139785104,3,196.2426,0,1998,,2,0,197.7426
16.1,1,0.04807227,5,126.5362,2,2007,,1,1,1761.7068
19.0,0,0.112097433,5,105.5622,7,1999,1.0,0,1,1905.5196
17.6,0,0.010037996,13,163.5552,4,2004,0.0,1,1,3086.6488
6.32,0,0.012789884,10,39.1822,2,2007,,1,1,1060.6194
9.3,1,0.033431669,10,153.1314,4,2004,0.0,1,1,4653.942
11.1,1,0.03623131,5,175.0712,2,2007,,1,1,3339.6528
6.15,0,0.046232445,0,99.4384,1,1987,2.0,2,1,1379.5376
20.85,0,0.097618234,15,223.9746,6,1997,0.0,0,1,897.4984
17.1,1,0.046808553,3,141.4838,6,1997,0.0,0,1,1404.838
13.15,1,0.03810738,13,86.3856,3,2009,1.0,2,2,615.1992
16.5,1,0.093846532,0,95.7068,4,2004,0.0,1,1,1069.2748
11.65,0,0.040744057,6,185.924,2,2007,,1,1,4101.328
13.15,0,0.022831052,6,160.292,7,1999,1.0,0,1,4793.76
19.35,1,0.076878416,13,113.9518,7,1999,1.0,0,1,1138.518
19.35,1,0.021501067,6,122.2098,5,2002,,1,1,2771.7254
16.5,1,0.07964724,6,101.4332,1,1987,2.0,2,1,1948.1308
21.35,0,0.068809463,3,258.5278,4,2004,0.0,1,1,5206.556
16.0,1,0.115570552,6,57.5246,4,2004,0.0,1,1,173.7738
20.5,0,0.143164371,9,34.919,1,1987,2.0,2,1,73.238
19.75,1,0.018008071,5,180.466,1,1987,2.0,2,1,3415.554
17.6,0,0.015775777,9,179.1976,2,2007,,1,1,3803.0496
4.615,1,0.102407778,3,234.33,2,2007,,1,1,3961.51
5.88,0,0.003606726,7,154.1998,3,2009,1.0,2,2,1384.1982
11.8,1,0.093801337,13,126.0704,7,1999,1.0,0,1,1251.704
17.35,0,0.0,0,101.9016,1,1987,2.0,2,1,1821.6288
12.35,1,0.033760862,10,196.9426,6,1997,0.0,0,1,5141.3076
9.0,0,0.082177842,5,214.1534,5,2002,,1,1,1720.4272
6.235,0,0.118858866,9,263.291,7,1999,1.0,0,1,3418.883
9.6,0,0.0,13,244.817,4,2004,0.0,1,1,4374.306
16.75,0,0.105448901,13,156.163,2,2007,,1,1,782.315
17.1,1,0.046881328,3,141.3838,7,1999,1.0,0,1,1685.8056
6.825,1,0.078057026,3,154.5998,0,1998,,2,0,153.7998
6.78,1,0.140955857,0,92.212,2,2007,,1,1,4101.328
16.0,1,0.107186944,0,181.9634,3,2009,1.0,2,2,3453.5046
15.0,0,0.153960209,15,105.9938,4,2004,0.0,1,1,1179.1318
7.39,0,0.093160853,9,251.3066,3,2009,1.0,2,2,1004.0264
17.6,0,0.05629192,5,42.5454,6,1997,0.0,0,1,419.454
12.65,1,0.15604396,6,239.6538,6,1997,0.0,0,1,3845.6608
17.85,0,0.044463491,13,127.102,6,1997,0.0,0,1,2024.032
11.15,1,0.00827301,4,150.4708,1,1987,2.0,2,1,1956.1204
15.7,0,0.030697825,7,42.877,4,2004,0.0,1,1,1168.479
14.65,0,0.0,11,56.4614,0,1998,,2,0,55.2614
18.25,0,0.012300013,6,160.4894,5,2002,,1,1,3073.9986
20.7,1,0.0,0,98.7042,2,2007,,1,1,1884.8798
15.85,0,0.057313443,13,53.3956,6,1997,0.0,0,1,1364.89
6.575,1,0.075625152,1,145.7444,7,1999,1.0,0,1,3193.1768
17.75,0,0.030568919,11,177.866,5,2002,,1,1,2336.958
16.7,1,0.120137953,6,181.2976,2,2007,,1,1,3078.6592
10.85,0,0.028679894,9,115.1808,6,1997,0.0,0,1,2109.2544
10.0,0,0.099804623,13,113.7544,7,1999,1.0,0,1,3243.7776
13.65,1,0.044526443,10,37.9532,0,1998,,2,0,71.9064
19.0,1,0.162882227,5,46.8718,0,1998,,2,0,189.0872
9.6,1,0.022404493,1,102.499,2,2007,,1,1,2579.975
12.0,0,0.075975642,0,124.1388,2,2007,,1,1,1486.0656
5.925,1,0.09644909,4,43.8086,4,2004,0.0,1,1,312.2602
13.0,0,0.041816615,9,254.5014,4,2004,0.0,1,1,4845.0266
8.18,1,0.082867689,5,58.5588,2,2007,,1,1,171.7764
12.8,0,0.076214289,6,96.541,5,2002,,1,1,1834.279
19.2,0,0.124301968,3,89.7488,5,2002,,1,1,2082.6224
14.5,1,0.097201128,13,159.4262,6,1997,0.0,0,1,2705.1454
5.19,0,0.042861968,5,196.811,2,2007,,1,1,3731.809
13.3,1,0.0713931,6,61.0536,1,1987,2.0,2,1,1592.5936
19.6,0,0.041256807,9,88.8514,1,1987,2.0,2,1,2125.2336
17.75,0,0.034746076,4,248.275,4,2004,0.0,1,1,998.7
12.35,0,0.093441604,13,119.1124,7,1999,1.0,0,1,3673.8844
14.35,0,0.017024598,8,109.8228,1,1987,2.0,2,1,2099.9332
6.365,0,0.007363189,5,63.2536,5,2002,,1,1,1225.072
14.75,0,0.032862976,8,238.6906,1,1987,2.0,2,1,4278.4308
12.15,0,0.015484763,5,211.9928,7,1999,1.0,0,1,631.1784
6.59,0,0.026163192,9,121.5098,1,1987,2.0,2,1,602.549
12.6,1,0.073920438,4,255.6356,6,1997,0.0,0,1,2797.6916
7.325,0,0.093307668,6,92.7146,1,1987,2.0,2,1,2006.7212
15.1,1,0.019965179,5,130.531,7,1999,1.0,0,1,908.817
8.51,1,0.078339081,13,172.9422,1,1987,2.0,2,1,1379.5376
20.35,1,0.031102571,4,257.2672,2,2007,,1,1,2045.3376
17.85,0,0.018097419,8,96.9094,3,2009,1.0,2,2,1332.9316
18.25,0,0.078041216,13,258.4962,3,2009,1.0,2,2,2848.9582
17.6,0,0.08226356,8,160.492,1,1987,2.0,2,1,1278.336
10.895,0,0.026880159,5,106.428,6,1997,0.0,0,1,1491.392
11.85,0,0.222063351,4,99.6726,0,1998,,2,0,195.7452
14.1,0,0.126292985,6,88.6198,3,2009,1.0,2,2,1133.8574
15.15,1,0.012260981,13,131.7284,4,2004,0.0,1,1,1186.4556
17.25,0,0.05869048,4,91.612,0,1998,,2,0,93.212
17.6,0,0.018982338,8,237.059,3,2009,1.0,2,2,2836.308
14.6,0,0.059405152,9,179.6976,6,1997,0.0,0,1,3621.952
10.1,0,0.027059264,10,76.467,4,2004,0.0,1,1,1761.041
10.5,0,0.071244438,5,119.2098,4,2004,0.0,1,1,1325.6078
12.6,0,0.007455054,9,186.9556,4,2004,0.0,1,1,3942.8676
18.7,0,0.046088273,8,153.6682,6,1997,0.0,0,1,3506.7686
5.985,0,0.096185556,5,127.1678,3,2009,1.0,2,2,3560.6984
12.1,0,0.11487406,0,221.4114,6,1997,0.0,0,1,5099.3622
13.0,1,0.083643716,3,196.0426,7,1999,1.0,0,1,2570.6538
19.2,1,0.022965292,6,181.695,5,2002,,1,1,2563.33
5.78,0,0.014584584,14,146.3102,5,2002,,1,1,2187.153
7.17,1,0.059716729,6,130.9968,4,2004,0.0,1,1,2348.9424
20.85,1,0.062224479,0,88.1514,6,1997,0.0,0,1,1682.4766
18.75,0,0.034360687,9,215.7218,7,1999,1.0,0,1,4274.436
7.5,0,0.050708743,3,123.4072,1,1987,2.0,2,1,3185.1872
10.395,1,0.036957777,10,230.5352,5,2002,,1,1,4580.704
12.8,1,0.023530953,10,223.5404,6,1997,0.0,0,1,1800.3232
11.65,1,0.058681957,0,170.4422,1,1987,2.0,2,1,517.3266
20.2,0,0.064728148,13,258.0646,2,2007,,1,1,5668.6212
11.35,1,0.0,13,103.0016,4,2004,0.0,1,1,2125.2336
8.71,1,0.120773451,3,186.5924,0,1998,,2,0,555.2772
8.31,1,0.115911972,13,177.3028,5,2002,,1,1,1948.1308
19.0,1,0.10985775,6,188.8214,0,1998,,2,0,188.4214
7.5,0,0.050853901,3,121.7072,5,2002,,1,1,367.5216
6.525,0,0.090295708,9,84.6882,6,1997,0.0,0,1,601.2174
6.985,1,0.137580452,10,182.8608,7,1999,1.0,0,1,4042.7376
11.3,0,0.066816565,9,192.2478,5,2002,,1,1,1356.2346
6.115,1,0.01179078,14,189.053,0,1998,,2,0,948.765
9.5,1,0.036921781,10,194.2452,0,1998,,2,0,782.9808
15.7,0,0.122742389,3,134.2942,5,2002,,1,1,1192.4478
16.0,0,0.089971292,4,143.2154,6,1997,0.0,0,1,1701.7848
13.1,1,0.099186992,5,198.7768,3,2009,1.0,2,2,3153.2288
16.85,0,0.036596012,13,90.6488,2,2007,,1,1,633.8416
14.85,1,0.016635488,13,157.563,0,1998,,2,0,312.926
18.2,0,0.090084098,6,197.211,5,2002,,1,1,3142.576
11.0,0,0.008960445,10,119.1756,7,1999,1.0,0,1,1696.4584
21.1,1,0.162418495,6,64.9168,2,2007,,1,1,639.168
15.2,0,0.056237906,9,110.7912,0,1998,,2,0,109.1912
9.06,0,0.009791467,11,213.256,7,1999,1.0,0,1,4687.232
11.5,0,0.072820885,6,191.253,1,1987,2.0,2,1,3036.048
11.15,0,0.073354286,11,66.8142,4,2004,0.0,1,1,2372.9112
13.5,1,0.068010049,4,57.2562,5,2002,,1,1,770.3306
15.1,1,0.087406863,6,221.8456,6,1997,0.0,0,1,663.1368
8.3,1,0.030198228,0,98.2384,7,1999,1.0,0,1,2167.8448
14.15,1,0.024442501,6,196.411,7,1999,1.0,0,1,2749.754
8.365,1,0.039844429,6,190.1188,6,1997,0.0,0,1,1904.188
11.85,1,0.055805027,0,53.0666,7,1999,1.0,0,1,512.666
19.6,0,0.047888606,8,42.277,4,2004,0.0,1,1,605.878
19.0,1,0.065735977,6,189.6214,7,1999,1.0,0,1,2826.321
18.25,0,0.076089711,13,212.9218,7,1999,1.0,0,1,3846.9924
19.85,1,0.020908608,13,63.5194,7,1999,1.0,0,1,557.2746
12.85,0,0.030678825,15,251.704,5,2002,,1,1,3542.056
19.6,0,0.039738393,13,163.7526,3,2009,1.0,2,2,2960.1468
15.7,1,0.01903743,6,60.5536,2,2007,,1,1,490.0288
13.3,0,0.06356617,5,151.3708,6,1997,0.0,0,1,3611.2992
10.395,0,0.112553853,13,59.022,3,2009,1.0,2,2,1378.206
10.5,1,0.013493914,13,143.7154,4,2004,0.0,1,1,3119.9388
19.35,0,0.118102769,13,224.8088,6,1997,0.0,0,1,2013.3792
14.1,0,0.06682033,13,198.9084,1,1987,2.0,2,1,4761.8016
8.6,1,0.040205535,3,188.753,6,1997,0.0,0,1,7590.12
17.1,0,0.038816115,9,166.4842,5,2002,,1,1,1326.2736
20.5,0,0.032819637,9,38.9822,7,1999,1.0,0,1,982.055
15.1,1,0.096249842,10,134.4942,7,1999,1.0,0,1,2119.9072
6.69,1,0.0,10,176.937,2,2007,,1,1,4234.488
7.905,0,0.010003987,13,250.7408,1,1987,2.0,2,1,5757.8384
18.0,0,0.124452048,5,118.5124,6,1997,0.0,0,1,1303.6364
7.84,1,0.154363209,3,50.835,2,2007,,1,1,599.22
15.15,1,0.066551268,5,144.676,2,2007,,1,1,3954.852
15.2,1,0.173703549,6,175.8054,0,1998,,2,0,1050.6324
19.85,0,0.054025644,12,197.2768,6,1997,0.0,0,1,6503.5344
7.325,0,0.093385381,6,91.3146,6,1997,0.0,0,1,1641.8628
